iter	Passed	Remaining
0	7	5373
1	15	5298
2	24	5424
3	32	5411
4	40	5378
5	49	5512
6	58	5539
7	67	5642
8	74	5548
9	83	5541
10	91	5540
11	101	5587
12	110	5605
13	121	5744
14	131	5807
15	141	5834
16	152	5902
17	162	5921
18	171	5904
19	179	5875
20	186	5817
21	196	5817
22	204	5797
23	215	5834
24	225	5859
25	236	5898
26	246	5907
27	254	5882
28	262	5837
29	269	5799
30	277	5770
31	284	5717
32	291	5679
33	298	5636
34	305	5592
35	313	5569
36	320	5533
37	328	5506
38	335	5465
39	343	5445
40	349	5409
41	357	5393
42	364	5360
43	372	5343
44	379	5311
45	387	5296
46	394	5275
47	403	5271
48	411	5251
49	418	5233
50	426	5216
51	434	5201
52	442	5187
53	448	5163
54	457	5154
55	464	5130
56	471	5112
57	478	5093
58	486	5082
59	493	5057
60	500	5040
61	507	5017
62	514	5000
63	522	4990
64	530	4975
65	538	4965
66	546	4957
67	554	4946
68	562	4942
69	572	4943
70	580	4939
71	588	4929
72	596	4916
73	604	4909
74	611	4891
75	620	4888
76	627	4874
77	635	4865
78	642	4847
79	649	4833
80	656	4815
81	665	4809
82	671	4791
83	679	4780
84	685	4761
85	692	4744
86	700	4731
87	706	4712
88	714	4706
89	721	4689
90	729	4681
91	736	4668
92	744	4658
93	751	4642
94	758	4630
95	765	4617
96	773	4608
97	780	4596
98	788	4586
99	796	4578
100	802	4563
101	810	4555
102	817	4539
103	825	4531
104	832	4519
105	839	4504
106	846	4493
107	853	4483
108	861	4474
109	868	4460
110	875	4449
111	883	4439
112	891	4431
113	898	4422
114	907	4418
115	914	4407
116	924	4409
117	932	4402
118	942	4402
119	950	4395
120	959	4391
121	965	4376
122	974	4371
123	980	4358
124	989	4352
125	995	4339
126	1003	4328
127	1009	4314
128	1017	4305
129	1024	4294
130	1031	4281
131	1039	4276
132	1046	4263
133	1055	4262
134	1063	4252
135	1070	4242
136	1077	4230
137	1085	4225
138	1092	4213
139	1100	4204
140	1107	4193
141	1114	4185
142	1122	4174
143	1130	4168
144	1138	4160
145	1144	4147
146	1152	4139
147	1159	4127
148	1167	4120
149	1174	4110
150	1181	4101
151	1189	4092
152	1197	4085
153	1205	4076
154	1212	4068
155	1220	4060
156	1227	4049
157	1235	4041
158	1241	4030
159	1250	4024
160	1257	4014
161	1264	4005
162	1272	3996
163	1280	3988
164	1287	3978
165	1297	3977
166	1304	3968
167	1313	3963
168	1320	3954
169	1329	3948
170	1335	3935
171	1342	3926
172	1349	3915
173	1356	3905
174	1363	3895
175	1369	3883
176	1377	3875
177	1385	3867
178	1392	3859
179	1399	3849
180	1408	3843
181	1415	3834
182	1425	3831
183	1432	3822
184	1441	3817
185	1449	3811
186	1458	3807
187	1466	3800
188	1475	3793
189	1482	3783
190	1489	3775
191	1496	3765
192	1504	3757
193	1512	3750
194	1521	3745
195	1529	3737
196	1537	3731
197	1546	3726
198	1555	3719
199	1562	3710
200	1570	3702
201	1576	3691
202	1583	3681
203	1590	3672
204	1597	3661
205	1605	3654
206	1611	3644
207	1619	3637
208	1626	3627
209	1634	3620
210	1642	3611
211	1649	3602
212	1656	3592
213	1663	3582
214	1670	3574
215	1677	3564
216	1684	3555
217	1691	3545
218	1699	3538
219	1706	3529
220	1713	3520
221	1720	3511
222	1727	3501
223	1734	3493
224	1741	3483
225	1749	3476
226	1757	3469
227	1765	3461
228	1773	3453
229	1781	3446
230	1787	3436
231	1795	3428
232	1802	3419
233	1810	3412
234	1817	3402
235	1824	3393
236	1832	3386
237	1838	3376
238	1848	3372
239	1855	3363
240	1863	3356
241	1870	3346
242	1879	3340
243	1902	3360
244	1921	3373
245	1939	3381
246	1958	3394
247	1975	3401
248	1990	3404
249	2003	3405
250	2015	3405
251	2023	3395
252	2029	3385
253	2037	3376
254	2046	3370
255	2060	3372
256	2070	3366
257	2079	3360
258	2086	3350
259	2093	3341
260	2100	3331
261	2107	3322
262	2114	3312
263	2121	3303
264	2129	3294
265	2136	3285
266	2143	3275
267	2150	3265
268	2157	3256
269	2164	3246
270	2172	3238
271	2179	3228
272	2188	3222
273	2195	3212
274	2202	3203
275	2209	3194
276	2216	3185
277	2223	3175
278	2230	3165
279	2238	3157
280	2245	3148
281	2253	3140
282	2260	3131
283	2269	3124
284	2277	3116
285	2285	3108
286	2293	3100
287	2301	3093
288	2308	3083
289	2316	3075
290	2322	3065
291	2330	3056
292	2337	3047
293	2344	3038
294	2353	3031
295	2361	3023
296	2369	3015
297	2377	3007
298	2385	2999
299	2393	2991
300	2401	2983
301	2408	2974
302	2416	2966
303	2423	2957
304	2431	2950
305	2439	2941
306	2447	2934
307	2454	2925
308	2462	2916
309	2469	2907
310	2479	2901
311	2486	2892
312	2493	2884
313	2501	2876
314	2509	2867
315	2516	2858
316	2525	2852
317	2534	2845
318	2542	2837
319	2549	2827
320	2556	2819
321	2564	2811
322	2571	2802
323	2580	2795
324	2588	2787
325	2595	2778
326	2602	2769
327	2609	2760
328	2616	2751
329	2623	2742
330	2630	2733
331	2637	2725
332	2645	2716
333	2651	2707
334	2659	2699
335	2668	2692
336	2679	2687
337	2688	2680
338	2696	2673
339	2705	2665
340	2713	2657
341	2721	2649
342	2729	2641
343	2738	2634
344	2745	2626
345	2753	2618
346	2760	2609
347	2770	2602
348	2777	2594
349	2785	2586
350	2793	2578
351	2803	2572
352	2810	2563
353	2817	2555
354	2824	2546
355	2831	2537
356	2838	2528
357	2846	2520
358	2854	2512
359	2860	2503
360	2868	2495
361	2875	2485
362	2883	2478
363	2890	2469
364	2897	2461
365	2905	2452
366	2913	2445
367	2920	2436
368	2929	2429
369	2936	2420
370	2945	2413
371	2952	2404
372	2959	2395
373	2966	2387
374	2973	2378
375	2981	2371
376	2989	2363
377	2997	2355
378	3003	2346
379	3011	2338
380	3019	2329
381	3027	2322
382	3035	2314
383	3044	2306
