iter	RMSE
0	408.987119
1	394.9972557
2	381.8768368
3	369.3554976
4	357.4125159
5	346.3945431
6	336.0772178
7	326.0105212
8	316.4597944
9	307.5307607
10	298.9169363
11	290.9356164
12	283.3848245
13	276.4143993
14	269.7467261
15	263.3506751
16	257.3503432
17	251.8019964
18	246.418096
19	241.3033193
20	236.5719034
21	232.1275359
22	228.0625805
23	224.2056023
24	220.4841207
25	217.0882395
26	214.0354976
27	211.0066183
28	208.1482871
29	205.6265875
30	203.2781359
31	200.9570985
32	198.825405
33	196.7031231
34	194.8300739
35	193.1392872
36	191.4470822
37	189.9216484
38	188.5161432
39	187.1840948
40	185.9470464
41	184.7592122
42	183.6740413
43	182.6558447
44	181.6660948
45	180.7573274
46	179.9013203
47	179.1106609
48	178.3024344
49	177.4880461
50	176.7625529
51	176.1013957
52	175.4973414
53	174.9546691
54	174.3106783
55	173.6389031
56	173.1591429
57	172.6996639
58	172.2414391
59	171.8274891
60	171.4589039
61	171.1014443
62	170.642782
63	170.2855841
64	169.9944285
65	169.6214797
66	169.3545497
67	169.1191223
68	168.7859527
69	168.5604077
70	168.3190201
71	168.0917513
72	167.8458946
73	167.6591361
74	167.4740268
75	167.3061865
76	167.1335123
77	166.9039586
78	166.748362
79	166.5528139
80	166.4176194
81	166.2063615
82	166.0584497
83	165.9351892
84	165.8266852
85	165.6958273
86	165.5404052
87	165.4289477
88	165.2634545
89	165.1544626
90	165.0746351
91	164.9704232
92	164.8673599
93	164.7665398
94	164.6539316
95	164.5708255
96	164.49508
97	164.4176625
98	164.3247554
99	164.2545478
100	164.1724638
101	164.0849017
102	164.0023297
103	163.9342462
104	163.8698319
105	163.7686636
106	163.7064215
107	163.5790139
108	163.4642158
109	163.4094655
110	163.3419335
111	163.2842646
112	163.2255384
113	163.1604469
114	163.0469029
115	162.9833601
116	162.9364055
117	162.8915469
118	162.8378948
119	162.7811998
120	162.7369793
121	162.6843456
122	162.6245219
123	162.5755093
124	162.5280118
125	162.4604977
126	162.4197737
127	162.3863536
128	162.3401466
129	162.2842574
130	162.2331957
131	162.1810586
132	162.1348161
133	162.0786506
134	162.0388552
135	161.9870436
136	161.9417028
137	161.8987223
138	161.8621681
139	161.8340342
140	161.758591
141	161.7219532
142	161.6375353
143	161.5679356
144	161.5412572
145	161.4930833
146	161.4404947
147	161.3796485
148	161.3386765
149	161.2942396
150	161.2624066
151	161.2225973
152	161.188015
153	161.1555447
154	161.1190652
155	161.0787554
156	161.0479823
157	161.006866
158	160.9879962
159	160.936436
160	160.9084084
161	160.8766904
162	160.8333185
163	160.8001675
164	160.7672887
165	160.6984681
166	160.672315
167	160.6101288
168	160.5653069
169	160.5287039
170	160.4838452
171	160.4580975
172	160.4383264
173	160.4126969
174	160.3871968
175	160.3568758
176	160.3157571
177	160.2832344
178	160.2653481
