iter	Passed	Remaining
0	9	4307
1	17	4018
2	25	3895
3	32	3709
4	39	3590
5	46	3504
6	53	3415
7	62	3472
8	69	3428
9	77	3435
10	83	3376
11	91	3377
12	97	3328
13	105	3325
14	112	3301
15	118	3266
16	126	3255
17	132	3234
18	141	3246
19	148	3240
20	158	3279
21	165	3263
22	172	3247
23	179	3222
24	186	3211
25	193	3194
26	199	3171
27	206	3161
28	213	3143
29	221	3142
30	227	3124
31	234	3107
32	241	3100
33	248	3085
34	255	3079
35	262	3062
36	269	3052
37	275	3032
38	283	3025
39	290	3023
40	297	3008
41	305	3006
42	311	2994
43	319	2990
44	325	2977
45	333	2972
46	340	2961
47	347	2956
48	354	2946
49	362	2940
50	369	2932
51	375	2920
52	383	2915
53	390	2907
54	398	2908
55	407	2907
56	414	2903
57	423	2905
58	431	2903
59	439	2898
60	446	2892
61	453	2884
62	460	2872
63	466	2858
64	472	2844
65	480	2838
66	487	2830
67	495	2824
68	501	2813
69	507	2801
70	514	2789
71	520	2776
72	527	2767
73	534	2758
74	540	2746
75	547	2739
76	554	2727
77	562	2724
78	569	2717
79	577	2715
80	584	2706
81	593	2707
82	600	2699
83	608	2695
84	614	2683
85	621	2675
86	628	2665
87	635	2655
88	643	2652
89	650	2647
90	658	2640
91	664	2630
92	672	2624
93	678	2614
94	686	2606
95	692	2597
96	698	2586
97	706	2580
98	712	2569
99	719	2560
100	726	2552
101	732	2541
102	739	2534
103	746	2524
104	752	2516
105	759	2506
106	765	2496
107	773	2490
108	779	2481
109	787	2475
110	793	2465
111	799	2456
112	813	2470
113	822	2467
114	830	2461
115	837	2455
116	843	2444
117	850	2437
118	857	2428
119	864	2421
120	872	2415
121	878	2405
122	887	2402
123	895	2398
124	903	2391
125	910	2384
126	917	2377
127	925	2370
128	932	2363
129	938	2354
130	945	2345
131	952	2337
132	959	2329
133	967	2324
134	975	2318
135	982	2312
136	990	2306
137	999	2303
138	1006	2295
139	1014	2289
140	1023	2285
141	1031	2280
142	1038	2272
143	1047	2268
144	1054	2262
145	1063	2257
146	1069	2247
147	1075	2237
148	1082	2229
149	1087	2219
150	1095	2212
151	1101	2203
152	1107	2194
153	1114	2185
154	1120	2176
155	1128	2170
156	1134	2160
157	1142	2154
158	1148	2145
159	1155	2137
160	1162	2129
161	1168	2121
162	1175	2113
163	1182	2105
164	1189	2097
165	1195	2088
166	1201	2078
167	1208	2071
168	1214	2062
169	1220	2053
170	1227	2045
171	1233	2037
172	1241	2030
173	1247	2021
174	1254	2015
175	1261	2006
176	1268	1999
177	1275	1992
178	1282	1984
179	1290	1978
180	1296	1969
181	1302	1961
182	1309	1953
183	1315	1945
184	1322	1937
185	1329	1929
186	1336	1923
187	1343	1914
188	1349	1906
189	1356	1899
190	1363	1891
191	1371	1885
192	1378	1877
193	1385	1870
194	1392	1863
195	1399	1855
196	1406	1849
197	1413	1841
198	1421	1835
199	1427	1827
200	1437	1824
201	1445	1817
202	1454	1812
203	1461	1805
204	1469	1798
205	1475	1790
206	1482	1783
207	1488	1775
208	1495	1767
209	1502	1760
210	1509	1752
211	1517	1746
212	1524	1739
213	1532	1732
214	1538	1724
215	1544	1716
216	1551	1708
217	1558	1700
218	1564	1693
219	1572	1686
220	1578	1678
221	1585	1670
222	1591	1663
223	1599	1656
224	1605	1648
225	1611	1640
226	1618	1632
227	1624	1624
228	1631	1617
229	1637	1609
230	1644	1602
231	1652	1595
232	1659	1588
233	1666	1581
234	1673	1573
235	1681	1567
236	1686	1558
237	1694	1552
238	1701	1544
239	1707	1536
240	1715	1530
241	1721	1522
242	1728	1514
243	1734	1506
244	1741	1499
245	1747	1491
246	1753	1483
247	1760	1476
248	1767	1469
249	1775	1462
250	1781	1455
251	1789	1449
252	1797	1442
253	1804	1435
254	1812	1428
255	1819	1421
256	1826	1414
257	1833	1407
258	1841	1400
259	1849	1394
260	1857	1387
261	1864	1380
262	1871	1373
263	1878	1366
264	1884	1358
265	1892	1351
266	1898	1343
267	1907	1337
268	1913	1330
269	1920	1323
270	1927	1315
271	1933	1308
272	1941	1301
273	1947	1293
274	1954	1286
275	1960	1278
276	1966	1270
277	1973	1263
278	1979	1256
279	1986	1248
280	1993	1241
281	2000	1234
282	2006	1226
283	2012	1218
284	2019	1211
285	2025	1204
286	2033	1197
287	2039	1189
288	2045	1182
289	2053	1175
290	2060	1168
291	2067	1161
292	2073	1153
293	2080	1146
294	2086	1138
295	2093	1131
296	2101	1125
297	2108	1117
298	2115	1110
299	2121	1103
300	2127	1095
301	2134	1088
302	2140	1081
303	2147	1073
304	2153	1065
305	2159	1058
306	2167	1051
307	2173	1044
308	2180	1037
309	2186	1029
310	2193	1022
311	2200	1015
312	2207	1008
313	2214	1001
314	2221	994
315	2228	987
316	2234	979
317	2240	972
318	2249	966
319	2256	958
320	2264	952
321	2271	945
322	2279	938
323	2286	931
324	2294	924
325	2300	917
326	2307	910
327	2313	902
328	2319	895
329	2327	888
330	2333	881
331	2339	873
332	2345	866
333	2351	859
334	2358	851
335	2365	844
336	2372	837
337	2379	830
338	2387	823
339	2394	816
340	2400	809
341	2407	802
342	2414	795
343	2419	787
344	2427	781
345	2433	773
346	2440	766
347	2446	759
348	2453	752
349	2459	744
350	2466	737
351	2474	731
352	2480	723
353	2487	716
354	2493	709
355	2499	702
356	2507	695
357	2515	688
358	2522	681
359	2529	674
360	2536	667
361	2543	660
362	2549	653
363	2557	646
364	2563	639
365	2570	632
366	2577	624
367	2584	618
368	2590	610
369	2596	603
370	2603	596
371	2609	589
372	2618	582
373	2624	575
374	2630	568
375	2637	561
376	2644	554
377	2652	547
378	2658	540
379	2665	533
380	2672	526
381	2682	519
382	2689	512
383	2694	505
384	2701	498
385	2707	491
386	2715	484
387	2721	477
388	2728	469
389	2735	462
390	2742	455
391	2750	449
392	2757	442
393	2765	435
394	2778	429
395	2787	422
396	2794	415
397	2801	408
398	2807	401
399	2815	394
400	2822	387
401	2829	380
402	2835	372
403	2843	365
404	2849	358
405	2855	351
406	2862	344
407	2869	337
408	2877	330
409	2884	323
410	2891	316
411	2898	309
412	2905	302
413	2912	295
414	2918	288
415	2926	281
416	2932	274
417	2939	267
418	2946	260
419	2953	253
420	2960	246
421	2966	239
422	2974	232
423	2981	225
424	2988	217
425	2995	210
426	3001	203
427	3009	196
428	3015	189
429	3023	182
430	3030	175
431	3036	168
432	3044	161
433	3052	154
434	3059	147
435	3067	140
436	3076	133
437	3084	126
438	3091	119
439	3098	112
440	3105	105
441	3112	98
442	3120	91
443	3127	84
444	3135	77
445	3142	70
446	3149	63
447	3156	56
448	3164	49
449	3172	42
450	3179	35
451	3186	28
452	3192	21
453	3200	14
454	3208	7
455	3214	0
